Jogador;Time;Idade;Gols;Assist;xG;xA;PrgC;PrgP;PrgR;TklDef;TklMc;TklAta;Cortes;PassCmp;PassAtt;DistTot;DistPrg;Pos
James Tarkowski;Everton;29;0.03;0.03;0.08;0.08;0.34;2.79;0.29;0.95;0.34;0.05;1.34;34.8;43.0;693.7;266.2;Zag
Gabriel Dos Santos;Arsenal;24;0.08;0.00;0.13;0.01;0.47;4.04;0.42;0.77;0.40;0.11;0.84;56.9;63.6;1012.0;536.8;Zag
Harry Kane;Tottenham;29;0.79;0.08;0.57;0.19;1.59;4.76;5.11;0.03;0.16;0.21;0.05;17.0;24.4;325.3;114.9;Ata
Alex Iwobi;Everton;26;0.05;0.19;0.07;0.16;2.40;5.17;3.87;0.99;0.75;0.11;0.67;30.8;41.0;536.1;175.2;Mei
Ward-Prowse;Southampton;27;0.24;0.11;0.15;0.17;0.51;5.04;1.55;0.83;0.72;0.19;1.47;45.8;58.0;773.3;232.5;Mei
Kieran Trippier;Newcastle;31;0.03;0.19;0.02;0.33;1.21;7.01;4.07;0.97;0.73;0.22;1.16;53.8;75.1;1027.4;453.1;Lat
Marc Guehi;Crystal Palace;22;0.03;0.00;0.04;0.01;0.46;2.86;0.08;1.05;0.30;0.05;1.22;50.9;59.7;1037.9;387.3;Zag
Ezri Konsa;Aston Villa;24;0.00;0.00;0.03;0.04;0.19;1.52;0.30;0.68;0.41;0.05;0.70;45.6;51.4;832.8;286.7;Zag
Bruno Fernandes;Man United;27;0.22;0.22;0.25;0.45;2.42;7.15;6.28;0.65;0.68;0.52;0.68;40.7;55.2;690.9;242.7;Mei
Max Kilman;Wolves;25;0.00;0.00;0.04;0.01;0.82;3.46;0.14;0.71;0.25;0.03;0.52;47.6;57.4;945.9;339.2;Zag
Mohamed Salah;Liverpool;30;0.52;0.33;0.59;0.21;3.28;4.07;11.5;0.11;0.14;0.33;0.16;24.6;32.4;342.6;93.0;Ata
Declan Rice;WestHam;23;0.11;0.03;0.07;0.09;2.42;6.59;1.02;1.21;0.85;0.11;1.73;50.7;58.7;924.5;259.8;Vol
Ben Mee;Brentford;32;0.08;0.03;0.09;0.04;0.22;2.31;0.39;0.77;0.36;0.11;1.32;37.1;48.5;711.7;294.6;Zag
Timothy Castagne;Leicester;26;0.06;0.08;0.06;0.07;1.08;2.93;4.12;1.46;0.75;0.19;1.19;40.6;50.7;583.6;232.6;Lat
Jefferson Lerma;Bournemouth;27;0.14;0.00;0.07;0.06;0.61;3.93;0.83;0.64;0.64;0.11;1.30;36.5;44.6;566.7;200.2;Vol
Lewis Dunk;Brighton;30;0.03;0.00;0.05;0.03;0.53;4.39;0.14;0.53;0.25;0.06;0.94;80.9;89.5;1523.3;553.9;Zag
Pascal Grob;Brighton;31;0.25;0.22;0.15;0.30;1.72;7.08;5.81;0.64;0.75;0.25;0.36;52.2;65.2;838.4;243.8;Mei
Rico Henry;Brentford;25;0.00;0.06;0.04;0.08;1.53;2.97;3.08;0.56;0.78;0.25;0.83;24.3;33.4;391.3;134.9;Lat
Jarrod Bowen;WestHam;25;0.17;0.14;0.25;0.21;2.84;2.01;5.93;0.39;0.31;0.39;1.00;15.4;24.5;243.0;71.1;Ata
